entry_id,entry_type,relative_path,symbol_or_route,current_owner,business_semantics,phase4_carrier,classification_status,strategy,target_path,target_capability,blocking_tests,drop_phase,risk,notes
legacy:src/app/workline/services/safety_service.py:_is_sensitive_key,service,src/app/workline/services/safety_service.py,_is_sensitive_key,workline,none,False,final,keep-contract,,,tests/contracts/workline/;tests/architecture/,phase5-tech,LOW,
legacy:src/app/workline/services/safety_service.py:_redact_url_query,service,src/app/workline/services/safety_service.py,_redact_url_query,workline,none,False,final,keep-contract,,,tests/contracts/workline/;tests/architecture/,phase5-tech,LOW,
legacy:src/app/workline/services/safety_service.py:_sanitize_safety_value,service,src/app/workline/services/safety_service.py,_sanitize_safety_value,workline,none,False,final,keep-contract,,,tests/contracts/workline/;tests/architecture/,phase5-tech,LOW,
legacy:src/app/workline/services/safety_service.py:_to_json_text,service,src/app/workline/services/safety_service.py,_to_json_text,workline,none,False,final,keep-contract,,,tests/contracts/workline/;tests/architecture/,phase5-tech,LOW,
legacy:src/app/workline/services/safety_service.py:_truncate_utf8,service,src/app/workline/services/safety_service.py,_truncate_utf8,workline,none,False,final,keep-contract,,,tests/contracts/workline/;tests/architecture/,phase5-tech,LOW,
legacy:src/app/workline/services/safety_service.py:_bounded_safety_json,service,src/app/workline/services/safety_service.py,_bounded_safety_json,workline,none,False,final,keep-contract,,,tests/contracts/workline/;tests/architecture/,phase5-tech,LOW,
legacy:src/app/workline/services/safety_service.py:WorkLineSafetyService,service,src/app/workline/services/safety_service.py,WorkLineSafetyService,workline,none,False,final,keep-contract,,,tests/contracts/workline/;tests/architecture/,phase5-tech,LOW,
legacy:src/app/workline/services/workline_service.py:WorkLineService,service,src/app/workline/services/workline_service.py,WorkLineService,workline,none,False,final,keep-contract,,,tests/contracts/workline/;tests/architecture/,phase5-tech,LOW,
legacy:src/app/workline/services/workline_start_service.py:WorkLineStartNotFoundError,service,src/app/workline/services/workline_start_service.py,WorkLineStartNotFoundError,workline,none,False,final,keep-contract,,,tests/contracts/workline/;tests/architecture/,phase5-tech,LOW,
legacy:src/app/workline/services/workline_start_service.py:WorkLineStartInvalidStateError,service,src/app/workline/services/workline_start_service.py,WorkLineStartInvalidStateError,workline,none,False,final,keep-contract,,,tests/contracts/workline/;tests/architecture/,phase5-tech,LOW,
